Winery,Aglianico,Barbera,Cabernet Sauvignon,Cab Franc,Carignane,Cinsault,Dolcetto,Grenache,Merlot,Malbec,Mourvedre,Petite Sirah,Petit Verdot,Pinot Noir,Primitivo,Red Blend,Red Dessert,Sangiovese,Syrah,Tempranillo,Zinfandel,Sparking / Champagne,Albarino,Chardonnay,Chenin Blanc,Gewürztraminer,Grenache Blanc,Marsanne,Pinot Blanc,Pinot Gris,Riesling,Rosé,Roussanne,Sauvignon Blanc,Semillon,Vermentino,Viognier,White Blend,White Dessert
Buena Vista Winery,,,Yes,,Yes,,Yes,Yes,Yes,,Yes,,,Yes,,Yes,,,,,Yes,Yes,,Yes,,,,,,Yes,,Yes,,,,,,Yes,Yes
Bump Wine Cellars,,,Yes,,,,,,,,,,Yes,,,Yes,,,,,Yes,,,,,,,,,,,,,Yes,,,,Yes,
C. Donatiello Winery,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,Yes,,,,,,,,Yes,,,,,,,
Calluna Vineyards,,,Yes,,,,,,Yes,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
Calstar Cellars,,,,,,,,,,,,,,Yes,,,,,,,Yes,,,Yes,,,,,,,,,,Yes,,,,,
Captûre Wines,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,
Carol Shelton Wines,,,Yes,,,,,,,,,Yes,,Yes,,Yes,Yes,,Yes,,Yes,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes
Cartograph,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,
Cast Wines,,,,,,,,,,,,Yes,,Yes,,,,,,,Yes,Yes,,Yes,,,,,,,,,,Yes,,,,,
Ceja Vineyards,,,Yes,,,,,,Yes,,,,,Yes,,Yes,Yes,,Yes,,,Yes,,Yes,,,,,,,,Yes,,Yes,,,,,Yes
Cellars of Sonoma,,,Yes,Yes,,,,Yes,,,,Yes,,Yes,,Yes,,,Yes,,Yes,Yes,,Yes,,,Yes,,,,,Yes,,Yes,,,,,Yes
Chalk Hill Estate Vineyards & Winery,,,,,,,,,,,,,,Yes,,Yes,,,Yes,,Yes,,,Yes,,,,,,Yes,,Yes,,Yes,,,Yes,,Yes
Chandelle Winery,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,
Chateau Adore,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,
Chateau Diana Winery,,Yes,Yes,Yes,,,,,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes
Chateau St. Jean Winery,,,Yes,,,,,,Yes,Yes,,,,Yes,,Yes,,,Yes,,,,,Yes,,,,,Yes,Yes,Yes,,,Yes,,,Yes,,Yes
Christopher Creek Winery,,,Yes,Yes,,,,,,,,Yes,,Yes,,Yes,,,Yes,,Yes,,,,,,,,,,,,,,,,Yes,,
Clarbec Wines,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,
Claypool Cellars,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,
Cline Cellars,,,,,Yes,,,Yes,Yes,,Yes,,,Yes,,Yes,Yes,,Yes,,Yes,,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,Yes,Yes,
Clos du Bois Winery,,,Yes,Yes,Yes,,,,Yes,Yes,,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,,,Yes,,,,,,Yes,,Yes,,Yes,,,,,
Clouds Rest Vineyards,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,
Colagrossi Wines,,,Yes,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,
Colin Lee Vineyards & Winery,,,Yes,,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
Collier Falls Vineyards - Family Wineries Tasting Room,,,Yes,,,,,,,,,Yes,,,Yes,,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,
Comstock Wines,,,Yes,,,,,,,,,,,Yes,,,,,,,Yes,,,Yes,,,,,,,,,,Yes,,,,,
Copain Wines,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,Yes,,,,,,Yes,,Yes,,,,,,,
Corner 103,,,Yes,,,,,,Yes,,,,Yes,Yes,,Yes,,,,,Yes,,,Yes,,,,,,,,Yes,,Yes,,,,,
Coturri Winery,,Yes,Yes,,Yes,,,Yes,Yes,,,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,,,Yes,,,,,,,,Yes,,,,,,,
D & L Carinalli Vineyards,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,Yes,,Yes,,,,,,,
D'Argenzio Winery,Yes,Yes,Yes,,,,,,Yes,,,Yes,,Yes,,Yes,Yes,Yes,Yes,,Yes,,,Yes,,Yes,,,,,,,,Yes,,,,,Yes
D.H. Gustafson Family Vineyards,,,Yes,Yes,,,,,,,,Yes,,,,,Yes,,Yes,,Yes,,,,,,,,,,Yes,Yes,,Yes,,,,,
D.H. Gustafson Family Vineyards Healdsburg Tasting Room,,,Yes,Yes,,,,,,,,Yes,,,,,Yes,,Yes,,Yes,,,,,,,,,,Yes,Yes,,Yes,,,,,
Dashe Cellars - Family Wineries Tasting Room,,,Yes,,,,,Yes,,,,Yes,,,,Yes,Yes,,,,Yes,,,,,,Yes,,,,Yes,Yes,,,,,,,
"DaVero Sonoma, Inc.",,,,,Yes,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
David Coffaro Vineyards & Winery,Yes,Yes,Yes,,Yes,,,Yes,,,,Yes,Yes,Yes,,Yes,Yes,,,,Yes,Yes,,,,,,,,,,,,Yes,,,,,
Davis Family Winery,,,Yes,,,,,,,,,,,Yes,,Yes,,,Yes,,,,,,,,,,,,,Yes,,,,,,,
De La Montanya Vineyards,,,Yes,,,,,,Yes,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,Yes,,Yes,,,,,Yes,Yes,,,,,Yes,Yes,Yes
Deerfield Ranch Winery,,,Yes,Yes,,,,,Yes,Yes,,,,Yes,,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,,,,Yes,,Yes,,Yes,,,,Yes,Yes
Deering Winery at Cellars of Sonoma,,,Yes,,,,,,,,,,,Yes,,Yes,,,,,Yes,,,Yes,,,Yes,,,,,,,,,,,,
Dehlinger Winery,,,Yes,,,,,,,,,,,Yes,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,
Del Carlo Winery,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
DeLoach Vineyards,,,,,,,,,,,,,,Yes,,,,,,,Yes,,,Yes,,,,,,,,Yes,,,,,,Yes,Yes
deLorimier Winery,,,Yes,Yes,,,,,,Yes,,,,,Yes,Yes,,Yes,,,Yes,,,Yes,,,,,,,,Yes,,Yes,,,,,Yes
Desmond Estate Vineyards,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,
Deux Amis Wines,,,Yes,,,,,,,,,Yes,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,
Dom Whitney Wines,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,Yes,,,,,,,,,
Donelan Family Wines,,,,,,,,,,,,,,Yes,,Yes,,,Yes,,,,,Yes,,,,,,,,Yes,,,,,Yes,Yes,
Dry Creek Vineyard,,,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,,Yes,,,Yes,Yes,,,,,,,Yes,,Yes,,,,,Yes
Dunstan Wines,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,
Dutcher Crossing Winery,,,Yes,,,,,,,,,Yes,,Yes,,Yes,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,
Dutton Estate Winery,,,,,,,,,,,,,,Yes,,,Yes,,Yes,,,,,Yes,,,,,,,,Yes,,Yes,,,,,
Dutton-Goldfield Winery,,,,,,,,,,,,,,Yes,,Yes,,,Yes,,,,,Yes,,Yes,,,Yes,,Yes,,,,,,,,
Ektimo Vineyards,,,,,,,,,,,,,,Yes,,,,,,,Yes,,,Yes,,,,,,,Yes,Yes,,Yes,,,,,
Emeritus Vineyards,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,
En Garde Winery,,,Yes,Yes,,,,,,,,Yes,,Yes,,Yes,Yes,,,Yes,,,Yes,,,,,,,,,Yes,,,,,,,
Enkidu Wine Tasting Room,,Yes,Yes,,,,,,,,,Yes,,Yes,,Yes,,,Yes,,Yes,,,Yes,,,,,,,,Yes,,Yes,,,,,
Enriquez Estate Wines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Envolve Winery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Kent Wine Cellars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Ross Winery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everett Ridge Vineyards & Winery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F. Teldeschi Winery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Wineries Dry Creek Valley Tasting Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Favero Vineyards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferrari-Carano Vineyards & Winery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferrari-Carano's Seasons of the Vineyard Tasting Bar & Boutique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Stone Winery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fisher Vineyards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fog Crest Vineyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fogline Vineyards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foppiano Vineyards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foppoli Wines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forchini Vineyards and Winery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Ross Vineyard & Tasting Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forth Vineyards - Family Wineries Tasting Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis Ford Coppola Winery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frick Winery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fritz Underground Winery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frostwatch Vineyard & Winery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamba Vineyards & Winery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gann Family Cellars - Cellars of Sonoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Farrell Vineyards & Winery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geyser Peak Winery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloria Ferrer Caves & Vineyards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gordian Knot Winery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gourmet Au Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gracianna Winery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graton Ridge Cellars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gundlach Bundschu Winery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hafner Vineyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halleck Vineyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
